date,data,symbol
2017-01-03 09:30:00,2255.92,SPX
2017-01-03 09:31:00,2254.13,SPX
2017-01-03 09:32:00,2254.51,SPX
2017-01-03 09:33:00,2255.46,SPX
2017-01-03 09:34:00,2256.96,SPX
2017-01-03 09:35:00,2257.74,SPX
2017-01-03 09:36:00,2257.02,SPX
2017-01-03 09:37:00,2256.64,SPX
2017-01-03 09:38:00,2254.77,SPX
2017-01-03 09:39:00,2254.28,SPX
2017-01-03 09:40:00,2254.83,SPX
2017-01-03 09:41:00,2255.29,SPX
2017-01-03 09:42:00,2254.06,SPX
2017-01-03 09:43:00,2254.48,SPX
2017-01-03 09:44:00,2254.98,SPX
2017-01-03 09:45:00,2255.55,SPX
2017-01-03 09:46:00,2255.79,SPX
2017-01-03 09:47:00,2254.72,SPX
2017-01-03 09:48:00,2254.5,SPX
2017-01-03 09:49:00,2254.57,SPX
2017-01-03 09:50:00,2253.41,SPX
2017-01-03 09:51:00,2253.41,SPX
2017-01-03 09:52:00,2254.08,SPX
2017-01-03 09:53:00,2253.62,SPX
2017-01-03 09:54:00,2254.3,SPX
2017-01-03 09:55:00,2254.13,SPX
2017-01-03 09:56:00,2254.95,SPX
2017-01-03 09:57:00,2254.74,SPX
2017-01-03 09:58:00,2255.15,SPX
2017-01-03 09:59:00,2255.44,SPX
2017-01-03 10:00:00,2255.3,SPX
2017-01-03 10:01:00,2256.04,SPX
2017-01-03 10:02:00,2257.04,SPX
2017-01-03 10:03:00,2256.7,SPX
2017-01-03 10:04:00,2257.23,SPX
2017-01-03 10:05:00,2258.02,SPX
2017-01-03 10:06:00,2258.86,SPX
2017-01-03 10:07:00,2259.62,SPX
2017-01-03 10:08:00,2259.52,SPX
2017-01-03 10:09:00,2262.94,SPX
2017-01-03 10:10:00,2262.74,SPX
2017-01-03 10:11:00,2262.5,SPX
2017-01-03 10:12:00,2262.4,SPX
2017-01-03 10:13:00,2261.5,SPX
2017-01-03 10:14:00,2261.34,SPX
2017-01-03 10:15:00,2261.29,SPX
2017-01-03 10:16:00,2260.69,SPX
2017-01-03 10:17:00,2261.45,SPX
2017-01-03 10:18:00,2261.33,SPX
2017-01-03 10:19:00,2261.41,SPX
2017-01-03 10:20:00,2261.29,SPX
2017-01-03 10:21:00,2261.37,SPX
2017-01-03 10:22:00,2260.69,SPX
2017-01-03 10:23:00,2261.32,SPX
2017-01-03 10:24:00,2261.33,SPX
2017-01-03 10:25:00,2261.22,SPX
2017-01-03 10:26:00,2261.11,SPX
2017-01-03 10:27:00,2261.19,SPX
2017-01-03 10:28:00,2261.71,SPX
2017-01-03 10:29:00,2261.02,SPX
2017-01-03 10:30:00,2261.91,SPX
2017-01-03 10:31:00,2261.34,SPX
2017-01-03 10:32:00,2260.73,SPX
2017-01-03 10:33:00,2260.46,SPX
2017-01-03 10:34:00,2260.13,SPX
2017-01-03 10:35:00,2259.58,SPX
2017-01-03 10:36:00,2258.87,SPX
2017-01-03 10:37:00,2258.4,SPX
2017-01-03 10:38:00,2258.84,SPX
2017-01-03 10:39:00,2257.63,SPX
2017-01-03 10:40:00,2258.07,SPX
2017-01-03 10:41:00,2257.84,SPX
2017-01-03 10:42:00,2257.99,SPX
2017-01-03 10:43:00,2258.0,SPX
2017-01-03 10:44:00,2256.75,SPX
2017-01-03 10:45:00,2256.72,SPX
2017-01-03 10:46:00,2256.82,SPX
2017-01-03 10:47:00,2256.75,SPX
2017-01-03 10:48:00,2256.87,SPX
2017-01-03 10:49:00,2255.65,SPX
2017-01-03 10:50:00,2255.79,SPX
2017-01-03 10:51:00,2255.7,SPX
2017-01-03 10:52:00,2255.17,SPX
2017-01-03 10:53:00,2255.18,SPX
2017-01-03 10:54:00,2255.18,SPX
2017-01-03 10:55:00,2253.99,SPX
2017-01-03 10:56:00,2253.79,SPX
2017-01-03 10:57:00,2253.06,SPX
2017-01-03 10:58:00,2252.59,SPX
2017-01-03 10:59:00,2252.36,SPX
2017-01-03 11:00:00,2251.07,SPX
2017-01-03 11:01:00,2249.79,SPX
2017-01-03 11:02:00,2250.97,SPX
2017-01-03 11:03:00,2250.68,SPX
2017-01-03 11:04:00,2251.45,SPX
2017-01-03 11:05:00,2251.66,SPX
2017-01-03 11:06:00,2251.9,SPX
2017-01-03 11:07:00,2252.5,SPX
2017-01-03 11:08:00,2252.4,SPX
2017-01-03 11:09:00,2252.13,SPX
2017-01-03 11:10:00,2251.82,SPX
2017-01-03 11:11:00,2251.96,SPX
2017-01-03 11:12:00,2252.38,SPX
2017-01-03 11:13:00,2252.43,SPX
2017-01-03 11:14:00,2252.1,SPX
2017-01-03 11:15:00,2252.18,SPX
2017-01-03 11:16:00,2251.75,SPX
2017-01-03 11:17:00,2251.52,SPX
2017-01-03 11:18:00,2250.33,SPX
2017-01-03 11:19:00,2250.32,SPX
2017-01-03 11:20:00,2251.27,SPX
2017-01-03 11:21:00,2252.06,SPX
2017-01-03 11:22:00,2252.62,SPX
2017-01-03 11:23:00,2253.28,SPX
2017-01-03 11:24:00,2252.83,SPX
2017-01-03 11:25:00,2251.7,SPX
2017-01-03 11:26:00,2251.6,SPX
2017-01-03 11:27:00,2251.41,SPX
2017-01-03 11:28:00,2250.33,SPX
2017-01-03 11:29:00,2250.37,SPX
2017-01-03 11:30:00,2251.56,SPX
2017-01-03 11:31:00,2251.06,SPX
2017-01-03 11:32:00,2251.95,SPX
2017-01-03 11:33:00,2251.65,SPX
2017-01-03 11:34:00,2251.41,SPX
2017-01-03 11:35:00,2251.11,SPX
2017-01-03 11:36:00,2251.01,SPX
2017-01-03 11:37:00,2250.24,SPX
2017-01-03 11:38:00,2249.19,SPX
2017-01-03 11:39:00,2248.16,SPX
2017-01-03 11:40:00,2247.26,SPX
2017-01-03 11:41:00,2247.23,SPX
2017-01-03 11:42:00,2246.81,SPX
2017-01-03 11:43:00,2245.54,SPX
2017-01-03 11:44:00,2245.7,SPX
2017-01-03 11:45:00,2246.37,SPX
2017-01-03 11:46:00,2246.86,SPX
2017-01-03 11:47:00,2248.01,SPX
2017-01-03 11:48:00,2247.7,SPX
2017-01-03 11:49:00,2247.95,SPX
2017-01-03 11:50:00,2247.49,SPX
2017-01-03 11:51:00,2247.9,SPX
2017-01-03 11:52:00,2248.1,SPX
2017-01-03 11:53:00,2248.45,SPX
2017-01-03 11:54:00,2248.64,SPX
2017-01-03 11:55:00,2248.09,SPX
2017-01-03 11:56:00,2247.93,SPX
2017-01-03 11:57:00,2248.05,SPX
