d a t a,c l o s e
2 0 2 3 - 0 5 - 0 5,1 0 5 9
2 0 2 3 - 0 5 - 0 8,1 0 0
2 0 2 3 - 0 5 - 0 9,1 0 5 5
2 0 2 3 - 0 5 - 1 0,1 0 1
2 0 2 3 - 0 5 - 1 1,1 0 7 5
2 0 2 3 - 0 5 - 1 2,1 0 7 5
2 0 2 3 - 0 5 - 1 5,1 0 5
2 0 2 3 - 0 5 - 1 7,1 0 5
2 0 2 3 - 0 5 - 1 8,1 0 5
2 0 2 3 - 0 5 - 3 1,1 0 5
2 0 2 3 - 0 6 - 0 1,1 0 5
2 0 2 3 - 0 6 - 0 5,1 0 5
2 0 2 3 - 0 6 - 0 6,1 1 2 7
2 0 2 3 - 0 6 - 0 8,1 0 6
2 0 2 3 - 0 6 - 1 3,1 0 6
2 0 2 3 - 0 6 - 1 5,1 0 6
2 0 2 3 - 0 6 - 2 2,1 0 6
2 0 2 3 - 0 7 - 1 4,1 0 6
2 0 2 3 - 0 9 - 0 8,1 0 6
2 0 2 3 - 1 0 - 0 3,1 1 2 5
2 0 2 3 - 1 0 - 2 4,1 0 7 5
2 0 2 3 - 1 2 - 0 7,1 0 7 5
2 0 2 3 - 1 2 - 0 8,1 0 7 5
2 0 2 3 - 1 2 - 1 1,1 0 7 5
2 0 2 3 - 1 2 - 1 3,1 0 7 5
2 0 2 4 - 0 5 - 0 2,1 0 6 7
2 0 2 4 - 0 5 - 0 3,1 0 5
2 0 2 4 - 0 5 - 0 6,1 0 5 9
2 0 2 4 - 0 5 - 0 7,1 0 5 9
2 0 2 4 - 0 5 - 0 8,1 0 5 9
2 0 2 4 - 0 5 - 0 9,1 0 5 9
2 0 2 4 - 0 5 - 1 0,1 0 5 1
2 0 2 4 - 0 5 - 1 3,1 0 5 1
2 0 2 4 - 0 5 - 2 0,1 0 5 1
2 0 2 4 - 0 5 - 2 1,1 0 5 1
2 0 2 4 - 0 5 - 2 2,1 0 5 1
2 0 2 4 - 0 5 - 2 3,1 0 5 1
2 0 2 4 - 0 5 - 2 9,1 0 5 1
2 0 2 4 - 0 5 - 3 1,1 0 5 1
2 0 2 4 - 0 6 - 0 4,1 0 5 1
2 0 2 4 - 0 6 - 0 5,1 0 9
2 0 2 4 - 0 6 - 0 6,1 0 9
2 0 2 4 - 0 6 - 0 7,1 0 9
2 0 2 4 - 0 6 - 1 2,1 0 9 9
2 0 2 4 - 0 6 - 1 4,1 1 1
2 0 2 4 - 0 6 - 2 0,1 1 0
2 0 2 4 - 0 6 - 2 5,1 1 0
2 0 2 4 - 0 7 - 0 8,1 1 0 1
2 0 2 4 - 0 7 - 1 7,1 1 0 1
2 0 2 4 - 0 7 - 2 9,1 1 0 1
