date,close,symbol
2024-01-02 09:30:00,198.88,IWM
2024-01-02 09:31:00,199.3,IWM
2024-01-02 09:32:00,200.025,IWM
2024-01-02 09:33:00,200.06,IWM
2024-01-02 09:34:00,200.4,IWM
2024-01-02 09:35:00,200.04,IWM
2024-01-02 09:36:00,200.45,IWM
2024-01-02 09:37:00,200.58,IWM
2024-01-02 09:38:00,200.03,IWM
2024-01-02 09:39:00,199.865,IWM
2024-01-02 09:40:00,200.09,IWM
2024-01-02 09:41:00,200.08,IWM
2024-01-02 09:42:00,200.47,IWM
2024-01-02 09:43:00,200.14,IWM
2024-01-02 09:44:00,200.09,IWM
2024-01-02 09:45:00,199.79,IWM
2024-01-02 09:46:00,199.71,IWM
2024-01-02 09:47:00,199.76,IWM
2024-01-02 09:48:00,199.59,IWM
2024-01-02 09:49:00,199.59,IWM
2024-01-02 09:50:00,200.19,IWM
2024-01-02 09:51:00,200.66,IWM
2024-01-02 09:52:00,200.55,IWM
2024-01-02 09:53:00,200.22,IWM
2024-01-02 09:54:00,200.0,IWM
2024-01-02 09:55:00,200.21,IWM
2024-01-02 09:56:00,200.13,IWM
2024-01-02 09:57:00,200.56,IWM
2024-01-02 09:58:00,200.88,IWM
2024-01-02 09:59:00,201.1,IWM
2024-01-02 10:00:00,201.2425,IWM
2024-01-02 10:01:00,201.46,IWM
2024-01-02 10:02:00,201.53,IWM
2024-01-02 10:03:00,201.44,IWM
2024-01-02 10:04:00,201.235,IWM
2024-01-02 10:05:00,201.24,IWM
2024-01-02 10:06:00,201.23,IWM
2024-01-02 10:07:00,200.96,IWM
2024-01-02 10:08:00,200.855,IWM
2024-01-02 10:09:00,201.15,IWM
2024-01-02 10:10:00,200.86,IWM
2024-01-02 10:11:00,200.715,IWM
2024-01-02 10:12:00,200.84,IWM
2024-01-02 10:13:00,200.76,IWM
2024-01-02 10:14:00,200.585,IWM
2024-01-02 10:15:00,200.59,IWM
2024-01-02 10:16:00,200.63,IWM
2024-01-02 10:17:00,200.905,IWM
2024-01-02 10:18:00,200.89,IWM
2024-01-02 10:19:00,200.85,IWM
2024-01-02 10:20:00,200.89,IWM
2024-01-02 10:21:00,200.97,IWM
2024-01-02 10:22:00,201.1,IWM
2024-01-02 10:23:00,201.05,IWM
2024-01-02 10:24:00,200.83,IWM
2024-01-02 10:25:00,200.4875,IWM
2024-01-02 10:26:00,200.25,IWM
2024-01-02 10:27:00,200.32,IWM
2024-01-02 10:28:00,200.35,IWM
2024-01-02 10:29:00,200.53,IWM
2024-01-02 10:30:00,200.16,IWM
2024-01-02 10:31:00,200.07,IWM
2024-01-02 10:32:00,200.17,IWM
2024-01-02 10:33:00,200.02,IWM
2024-01-02 10:34:00,199.91,IWM
2024-01-02 10:35:00,199.955,IWM
2024-01-02 10:36:00,199.74,IWM
2024-01-02 10:37:00,199.82,IWM
2024-01-02 10:38:00,199.63,IWM
2024-01-02 10:39:00,199.75,IWM
2024-01-02 10:40:00,200.04,IWM
2024-01-02 10:41:00,199.87,IWM
2024-01-02 10:42:00,200.07,IWM
2024-01-02 10:43:00,200.27,IWM
2024-01-02 10:44:00,200.23,IWM
2024-01-02 10:45:00,200.275,IWM
2024-01-02 10:46:00,200.13,IWM
2024-01-02 10:47:00,200.105,IWM
2024-01-02 10:48:00,200.15,IWM
2024-01-02 10:49:00,200.05,IWM
2024-01-02 10:50:00,200.1802,IWM
2024-01-02 10:51:00,200.42,IWM
2024-01-02 10:52:00,200.35,IWM
2024-01-02 10:53:00,200.095,IWM
2024-01-02 10:54:00,200.05,IWM
2024-01-02 10:55:00,200.01,IWM
2024-01-02 10:56:00,199.84,IWM
2024-01-02 10:57:00,199.65,IWM
2024-01-02 10:58:00,199.62,IWM
2024-01-02 10:59:00,199.67,IWM
2024-01-02 11:00:00,199.94,IWM
2024-01-02 11:01:00,199.85,IWM
2024-01-02 11:02:00,200.04,IWM
2024-01-02 11:03:00,200.01,IWM
2024-01-02 11:04:00,200.235,IWM
2024-01-02 11:05:00,199.925,IWM
2024-01-02 11:06:00,200.01,IWM
2024-01-02 11:07:00,199.87,IWM
2024-01-02 11:08:00,199.98,IWM
2024-01-02 11:09:00,200.22,IWM
2024-01-02 11:10:00,200.43,IWM
2024-01-02 11:11:00,200.42,IWM
2024-01-02 11:12:00,200.2,IWM
2024-01-02 11:13:00,200.24,IWM
2024-01-02 11:14:00,200.329,IWM
2024-01-02 11:15:00,200.68,IWM
2024-01-02 11:16:00,200.62,IWM
2024-01-02 11:17:00,200.42,IWM
2024-01-02 11:18:00,200.55,IWM
2024-01-02 11:19:00,200.41,IWM
2024-01-02 11:20:00,200.28,IWM
2024-01-02 11:21:00,200.3,IWM
2024-01-02 11:22:00,200.61,IWM
2024-01-02 11:23:00,200.52,IWM
2024-01-02 11:24:00,200.6,IWM
2024-01-02 11:25:00,200.58,IWM
2024-01-02 11:26:00,200.49,IWM
2024-01-02 11:27:00,200.455,IWM
2024-01-02 11:28:00,200.495,IWM
2024-01-02 11:29:00,200.46,IWM
2024-01-02 11:30:00,200.35,IWM
2024-01-02 11:31:00,200.3045,IWM
2024-01-02 11:32:00,200.3,IWM
2024-01-02 11:33:00,200.42,IWM
2024-01-02 11:34:00,200.23,IWM
2024-01-02 11:35:00,200.46,IWM
2024-01-02 11:36:00,200.46,IWM
2024-01-02 11:37:00,200.585,IWM
2024-01-02 11:38:00,200.59,IWM
2024-01-02 11:39:00,200.63,IWM
2024-01-02 11:40:00,200.595,IWM
2024-01-02 11:41:00,200.67,IWM
2024-01-02 11:42:00,200.6,IWM
2024-01-02 11:43:00,200.73,IWM
2024-01-02 11:44:00,200.77,IWM
2024-01-02 11:45:00,200.86,IWM
2024-01-02 11:46:00,201.02,IWM
2024-01-02 11:47:00,200.99,IWM
2024-01-02 11:48:00,200.93,IWM
2024-01-02 11:49:00,201.02,IWM
2024-01-02 11:50:00,201.01,IWM
2024-01-02 11:51:00,201.08,IWM
2024-01-02 11:52:00,200.94,IWM
2024-01-02 11:53:00,200.9299,IWM
2024-01-02 11:54:00,200.92,IWM
2024-01-02 11:55:00,200.9601,IWM
2024-01-02 11:56:00,200.995,IWM
2024-01-02 11:57:00,201.005,IWM
2024-01-02 11:58:00,201.029,IWM
2024-01-02 11:59:00,201.1,IWM
2024-01-02 12:00:00,201.1625,IWM
2024-01-02 12:01:00,201.35,IWM
2024-01-02 12:02:00,201.19,IWM
2024-01-02 12:03:00,201.23,IWM
2024-01-02 12:04:00,201.235,IWM
2024-01-02 12:05:00,201.12,IWM
2024-01-02 12:06:00,201.1744,IWM
2024-01-02 12:07:00,201.205,IWM
2024-01-02 12:08:00,201.15,IWM
2024-01-02 12:09:00,201.195,IWM
2024-01-02 12:10:00,201.32,IWM
2024-01-02 12:11:00,201.3439,IWM
2024-01-02 12:12:00,201.3,IWM
2024-01-02 12:13:00,201.43,IWM
2024-01-02 12:14:00,201.49,IWM
2024-01-02 12:15:00,201.29,IWM
2024-01-02 12:16:00,201.2113,IWM
2024-01-02 12:17:00,201.13,IWM
2024-01-02 12:18:00,201.22,IWM
2024-01-02 12:19:00,201.125,IWM
2024-01-02 12:20:00,201.38,IWM
2024-01-02 12:21:00,201.5,IWM
2024-01-02 12:22:00,201.26,IWM
2024-01-02 12:23:00,201.21,IWM
2024-01-02 12:24:00,201.215,IWM
2024-01-02 12:25:00,201.1389,IWM
2024-01-02 12:26:00,201.15,IWM
2024-01-02 12:27:00,201.14,IWM
2024-01-02 12:28:00,201.17,IWM
2024-01-02 12:29:00,201.13,IWM
2024-01-02 12:30:00,201.12,IWM
2024-01-02 12:31:00,201.12,IWM
2024-01-02 12:32:00,201.22,IWM
2024-01-02 12:33:00,201.23,IWM
2024-01-02 12:34:00,201.25,IWM
2024-01-02 12:35:00,201.31,IWM
2024-01-02 12:36:00,201.35,IWM
2024-01-02 12:37:00,201.36,IWM
2024-01-02 12:38:00,201.4575,IWM
2024-01-02 12:39:00,201.5,IWM
2024-01-02 12:40:00,201.485,IWM
2024-01-02 12:41:00,201.529,IWM
2024-01-02 12:42:00,201.45,IWM
2024-01-02 12:43:00,201.4,IWM
2024-01-02 12:44:00,201.375,IWM
2024-01-02 12:45:00,201.24,IWM
2024-01-02 12:46:00,201.205,IWM
